threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.875,0.4065281899109792,0.42433234421364985,0.958041958041958,0.9377882129197278,0.032047477744807124,0.039889283501815954,0.9028776978417267,0.8802278472968416,0.3278902677988243,0.32997032640949553,0.9755458047945206,0.9424286192072187,6.0,0.8767123287671234,0.8019892910655267,6.0,1.6821063577316189,2.33217971407847,0.27874067869753305,0.2718801439353902,0.6700296735905045,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.88,0.4124629080118694,0.42433234421364985,0.972027972027972,0.9542384243108367,0.02373887240356083,0.03064524894290796,0.91701244813278,0.8939435219776724,0.28870019595035923,0.286053412462908,0.9836972031963471,0.9616190794714792,6.0,0.9178082191780823,0.8569217005677668,6.0,1.7103844791955158,2.33217971407847,0.26661548899058507,0.2597549542284421,0.713946587537092,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.885,0.41839762611275966,0.42433234421364985,0.986013986013986,0.9714708621334278,0.01483679525222552,0.020517282845418372,0.9388753056234719,0.9163583560584082,0.25081645983017636,0.2427299703264095,0.9918486015981736,0.9808095397357396,6.0,0.958904109589041,0.8984925679260038,6.0,1.7526823798878997,2.33217971407847,0.24847885036147443,0.24161831559933156,0.7572700296735905,False,True,True,True,True,True,False,5,False,0,False,False,prefix_512
0.89,0.42136498516320475,0.42433234421364985,0.993006993006993,0.9819744934189295,0.00830860534124629,0.012815711440786134,0.9575757575757575,0.9353021125199978,0.20640104506858262,0.19584569732937684,0.9951127283105023,0.9900120857013928,6.0,0.984375,0.9005985307333891,6.0,1.833200434882954,2.33217971407847,0.2139540431568676,0.2070935083947245,0.8041543026706232,False,True,True,True,True,True,True,6,False,0,False,False,prefix_512
0.895,0.42255192878338277,0.42433234421364985,0.9958041958041958,0.988902712054749,0.0035608308605341245,0.00687089906415621,0.9743589743589743,0.9511899613809741,0.14892227302416722,0.13887240356083086,0.99609375,0.9896685405197209,6.0,0.9765625,0.9204535984417537,6.0,1.9687848466205076,2.33217971407847,0.15581769503623066,0.14895716027408756,0.8611275964391691,False,True,True,True,True,True,True,6,False,0,False,False,prefix_512
0.9,0.42373887240356084,0.42433234421364985,0.9986013986013986,0.9946160364667973,0.0011869436201780415,0.0035803065653185863,0.9880239520958084,0.9644582692901863,0.1077726975832789,0.09910979228486647,0.9986979166666666,0.9965561801732402,6.0,0.9921875,0.9597496734524451,6.0,2.0715280381800194,2.33217971407847,0.11176311770700909,0.1049025829448661,0.9008902077151335,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.905,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9814314308847983,0.09340300457217506,0.08486646884272997,1.0,1.0,6.0,1.0,1.0,6.0,2.109782796636993,2.33217971407847,0.09536011144379342,0.08849957668165043,0.91513353115727,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.91,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9804943379570779,0.08883082952318747,0.08071216617210683,1.0,1.0,6.0,1.0,1.0,6.0,2.12068715878668,2.33217971407847,0.09068450171961062,0.08382396695746785,0.9192878338278931,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.915,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9803526903403325,0.08817766165904638,0.08011869436201781,1.0,1.0,6.0,1.0,1.0,6.0,2.1222861628091,2.33217971407847,0.08999887530207207,0.0831383405399293,0.9198813056379822,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.92,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9803526903403325,0.08817766165904638,0.08011869436201781,1.0,1.0,6.0,1.0,1.0,6.0,2.1222861628091,2.33217971407847,0.08999887530207207,0.0831383405399293,0.9198813056379822,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.925,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9803526903403325,0.08817766165904638,0.08011869436201781,1.0,1.0,6.0,1.0,1.0,6.0,2.1222861628091,2.33217971407847,0.08999887530207207,0.0831383405399293,0.9198813056379822,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.93,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9803526903403325,0.08817766165904638,0.08011869436201781,1.0,1.0,6.0,1.0,1.0,6.0,2.1222861628091,2.33217971407847,0.08999887530207207,0.0831383405399293,0.9198813056379822,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.935,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9803526903403325,0.08817766165904638,0.08011869436201781,1.0,1.0,6.0,1.0,1.0,6.0,2.1222861628091,2.33217971407847,0.08999887530207207,0.0831383405399293,0.9198813056379822,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
0.94,0.42433234421364985,0.42433234421364985,1.0,1.0,0.0,0.0016030897478467635,1.0,0.9803526903403325,0.08817766165904638,0.08011869436201781,1.0,1.0,6.0,1.0,1.0,6.0,2.1222861628091,2.33217971407847,0.08999887530207207,0.0831383405399293,0.9198813056379822,True,True,True,True,True,True,True,7,True,12,True,True,prefix_512
