strategy,dataset,prompts,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,mean_resource,fallback_resource,resource_savings,fallback_usage
dataset_lookup,humaneval,31,0.8387096774193549,0.5806451612903226,1.4444444444444444,1.2181348137937296,0.0,0.08026998460298293,1.0,1.0,1.4444444444444444,1.4444444444444444,1.0,1.5711878136200716,1.755689534050179,0.10508789672196917,0.0
dataset_lookup,kandk,138,0.7681159420289855,0.7681159420289855,1.0,1.0,0.0,0.019228406981549255,1.0,0.0,1.0,1.0,1.0,1.336871030595813,1.336871030595813,0.0,1.0
dataset_lookup,korbench,246,0.5691056910569106,0.5691056910569106,1.0,1.0,0.0,0.010878500802676253,1.0,0.0,1.0,1.0,1.0,3.57023,3.57023,0.0,1.0
dataset_lookup,livecodebench,222,0.6846846846846847,0.6846846846846847,1.0,1.0,0.0,0.012040394787359219,1.0,0.0,1.0,1.0,1.0,2.652568578578579,2.652568578578579,0.0,1.0
dataset_lookup,livemathbench,18,0.7222222222222222,0.7222222222222222,1.0,1.0,0.0,0.13066758958023256,1.0,0.0,1.0,1.0,1.0,0.9202901234567898,0.9202901234567898,0.0,1.0
dataset_lookup,math500,105,0.9428571428571428,0.9428571428571428,1.0,1.0,0.0,0.02511981618892741,1.0,0.0,1.0,1.0,1.0,0.9685098835978835,0.9685098835978835,0.0,1.0
dataset_lookup,mathbench,29,0.9655172413793104,0.9655172413793104,1.0,1.0,0.0,0.0853334514834167,1.0,0.0,1.0,1.0,1.0,1.0548605363984673,1.0548605363984673,0.0,1.0
dataset_lookup,mbpp,201,0.6865671641791045,0.5572139303482587,1.232142857142857,1.1101678564816055,0.11442786069651742,0.15659086949183493,0.8855721393034826,1.0,1.232142857142857,1.232142857142857,1.0,0.9219302929795467,0.9951307241569927,0.07355860833204242,0.0
dataset_lookup,medqa,266,0.8007518796992481,0.8007518796992481,1.0,1.0,0.0,0.01006880401243979,1.0,0.0,1.0,1.0,1.0,1.5109434001670843,1.5109434001670843,0.0,1.0
dataset_lookup,meld,242,0.5413223140495868,0.5413223140495868,1.0,1.0,0.0,0.011056322696681968,1.0,0.0,1.0,1.0,1.0,1.4118651056014688,1.4118651056014688,0.0,1.0
dataset_lookup,mmlupro,188,0.675531914893617,0.675531914893617,1.0,1.0,0.0,0.014187020498156941,1.0,0.0,1.0,1.0,1.0,1.4535339479905434,1.4535339479905434,0.0,1.0
dataset_lookup,winogrande,239,0.8619246861924686,0.8619246861924686,1.0,1.0,0.0,0.011193551523195603,1.0,0.0,1.0,1.0,1.0,0.9395147373314736,0.9395147373314736,0.0,1.0
outcome_oracle,aime,11,0.9090909090909091,0.9090909090909091,1.0,1.0,0.0,0.1974050473195177,1.0,0.2727272727272727,1.0,1.0,1.0,1.2573862626262624,1.2896692929292926,0.02503202214709166,0.7272727272727273
outcome_oracle,arcc,259,0.9613899613899614,0.9420849420849421,1.0204918032786885,1.0055353217846337,0.0,0.01033812053954439,1.0,0.9459459459459459,1.0204918032786885,1.0204918032786885,1.0,0.8444328185328185,0.9002306306306305,0.061981685802808606,0.05405405405405406
outcome_oracle,bbh,203,0.9261083743842364,0.8423645320197044,1.0994152046783625,1.0613580430691525,0.0,0.01315250628964781,1.0,0.7044334975369458,1.0994152046783625,1.0994152046783625,1.0,2.074218051450465,2.2468586754241926,0.07683644096624553,0.2955665024630542
outcome_oracle,emorynlp,152,0.40131578947368424,0.29605263157894735,1.3555555555555558,1.2167982957093,0.0,0.017488342005651566,1.0,0.8881578947368421,1.3555555555555558,1.3555555555555558,1.0,1.6650379385964913,1.8437114912280699,0.09690971363017686,0.1118421052631579
outcome_oracle,finqa,223,0.7713004484304933,0.7219730941704036,1.0683229813664596,1.0352106952102593,0.0,0.011987049199993046,1.0,0.9013452914798207,1.0683229813664596,1.0683229813664596,1.0,3.811007832585949,4.338614040857,0.12160708542003285,0.09865470852017937
outcome_oracle,gpqa,39,0.8205128205128205,0.7692307692307693,1.0666666666666667,0.9901545769589969,0.0,0.0648725140597522,1.0,0.6153846153846154,1.0666666666666667,1.0666666666666667,1.0,1.2556409116809115,1.3295137321937318,0.055563789018507004,0.38461538461538464
outcome_oracle,humaneval,31,0.8387096774193549,0.5806451612903226,1.4444444444444444,1.2181348137937296,0.0,0.08026998460298293,1.0,1.0,1.4444444444444444,1.4444444444444444,1.0,1.5711878136200716,1.755689534050179,0.10508789672196917,0.0
outcome_oracle,kandk,138,0.8188405797101449,0.7681159420289855,1.0660377358490567,1.0258914127231518,0.0,0.019228406981549255,1.0,0.34057971014492755,1.0660377358490567,1.0660377358490567,1.0,1.2973234460547503,1.336871030595813,0.0295821987581234,0.6594202898550725
outcome_oracle,korbench,246,0.5975609756097561,0.5691056910569106,1.05,1.0192981780027848,0.0,0.010878500802676253,1.0,0.6829268292682927,1.05,1.05,1.0,3.2337731616982834,3.57023,0.09423954151461289,0.3170731707317073
outcome_oracle,livecodebench,222,0.6936936936936937,0.6846846846846847,1.013157894736842,0.9978887795880924,0.0,0.012040394787359219,1.0,0.36486486486486486,1.013157894736842,1.013157894736842,1.0,2.52364988988989,2.652568578578579,0.04860145359852375,0.6351351351351351
outcome_oracle,livemathbench,18,0.7777777777777778,0.7222222222222222,1.0769230769230769,0.9503958748498869,0.0,0.13066758958023256,1.0,0.6111111111111112,1.0769230769230769,1.0769230769230769,1.0,0.8859408641975308,0.9202901234567898,0.03732438106608871,0.3888888888888889
outcome_oracle,math500,105,0.9523809523809523,0.9428571428571428,1.0101010101010102,0.9934863270004901,0.0,0.02511981618892741,1.0,0.8095238095238095,1.0101010101010102,1.0101010101010102,1.0,0.9131320423280423,0.9685098835978835,0.05717839560306803,0.19047619047619047
outcome_oracle,mathbench,29,1.0,0.9655172413793104,1.0357142857142856,0.9769695133231617,0.0,0.0853334514834167,1.0,0.7931034482758621,1.0357142857142856,1.0357142857142856,1.0,0.9907076628352489,1.0548605363984673,0.060816450468657024,0.20689655172413793
outcome_oracle,mbpp,201,0.8009950248756219,0.5572139303482587,1.4375,1.3478781157900273,0.0,0.013281638821503641,1.0,0.8855721393034826,1.4375,1.4375,1.0,0.9298027639579879,0.9951307241569927,0.06564761655243456,0.11442786069651742
outcome_oracle,medqa,266,0.8533834586466166,0.8007518796992481,1.0657276995305165,1.0375510724167634,0.0,0.01006880401243979,1.0,0.8045112781954887,1.0657276995305165,1.0657276995305165,1.0,1.3908486633249793,1.5109434001670843,0.07948327967071744,0.19548872180451127
outcome_oracle,meld,242,0.6694214876033058,0.5413223140495868,1.2366412213740459,1.1712274009440165,0.0,0.011056322696681968,1.0,0.8471074380165289,1.2366412213740459,1.2366412213740459,1.0,1.2967951606978878,1.4118651056014688,0.08150208149988947,0.15289256198347106
outcome_oracle,mmlupro,188,0.7127659574468085,0.675531914893617,1.0551181102362206,1.0214056039834718,0.0,0.014187020498156941,1.0,0.8191489361702128,1.0551181102362206,1.0551181102362206,1.0,1.345812245862884,1.4535339479905434,0.07411020724805262,0.18085106382978725
outcome_oracle,winogrande,239,0.9205020920502092,0.8619246861924686,1.0679611650485437,1.0389124561282073,0.0,0.011193551523195603,1.0,0.8702928870292888,1.0679611650485437,1.0679611650485437,1.0,0.8828924221292422,0.9395147373314736,0.060267617901404225,0.1297071129707113
modernbert_hybrid_router,aime,11,0.9090909090909091,0.9090909090909091,1.0,1.0,0.0,0.1974050473195177,1.0,0.0,1.0,1.0,1.0,1.2936692929292926,1.2896692929292926,-0.0031015703187866617,1.0
modernbert_hybrid_router,arcc,259,0.918918918918919,0.9420849420849421,0.9754098360655739,0.9502634949959923,0.03861003861003861,0.06354168534421357,0.9521531100478469,0.806949806949807,0.9754098360655739,0.9754098360655739,1.0,0.859081776061776,0.9002306306306305,0.04570923624319334,0.19305019305019305
modernbert_hybrid_router,bbh,203,0.8522167487684729,0.8423645320197044,1.0116959064327484,0.9924578523163571,0.0049261083743842365,0.021775396975785136,0.9523809523809523,0.10344827586206896,1.0116959064327484,1.0116959064327484,1.0,2.2378084619594962,2.2468586754241926,0.004027940681666453,0.896551724137931
modernbert_hybrid_router,emorynlp,152,0.29605263157894735,0.29605263157894735,1.0,1.0,0.0,0.017488342005651566,1.0,0.0,1.0,1.0,1.0,1.8477114912280699,1.8437114912280699,-0.002169536838616537,1.0
modernbert_hybrid_router,finqa,223,0.6995515695067265,0.7219730941704036,0.968944099378882,0.9268651341587065,0.04932735426008968,0.07904639071836395,0.9026548672566371,0.5067264573991032,0.968944099378882,0.968944099378882,1.0,4.038164703537618,4.338614040857,0.06925007260153415,0.49327354260089684
modernbert_hybrid_router,gpqa,39,0.717948717948718,0.7692307692307693,0.9333333333333332,0.8568212436256636,0.05128205128205128,0.14366513625822708,0.3333333333333333,0.07692307692307693,0.9333333333333332,0.9333333333333332,1.0,1.3292448433048432,1.3295137321937318,0.00020224604107321742,0.9230769230769231
modernbert_hybrid_router,humaneval,31,0.5806451612903226,0.5806451612903226,1.0,1.0,0.0,0.08026998460298293,1.0,0.2903225806451613,1.0,1.0,1.0,1.7118596415770606,1.755689534050179,0.024964489235182574,0.7096774193548387
modernbert_hybrid_router,kandk,138,0.7681159420289855,0.7681159420289855,1.0,1.0,0.0,0.019228406981549255,1.0,0.0,1.0,1.0,1.0,1.340871030595813,1.336871030595813,-0.0029920612448437467,1.0
modernbert_hybrid_router,korbench,246,0.573170731707317,0.5691056910569106,1.0071428571428571,0.9867654030759241,0.0040650406504065045,0.018012737035991946,0.9791666666666666,0.1951219512195122,1.0071428571428571,1.0071428571428571,1.0,3.451124634146341,3.57023,0.033360698289370494,0.8048780487804879
modernbert_hybrid_router,livecodebench,222,0.6846846846846847,0.6846846846846847,1.0,1.0,0.0,0.012040394787359219,1.0,0.0,1.0,1.0,1.0,2.656568578578578,2.652568578578579,-0.001507972322488449,1.0
modernbert_hybrid_router,livemathbench,18,0.7222222222222222,0.7222222222222222,1.0,1.0,0.0,0.13066758958023256,1.0,0.0,1.0,1.0,1.0,0.9242901234567901,0.9202901234567898,-0.004346455425355833,1.0
modernbert_hybrid_router,math500,105,0.9428571428571428,0.9428571428571428,1.0,1.0,0.0,0.02511981618892741,1.0,0.02857142857142857,1.0,1.0,1.0,0.9711754708994708,0.9685098835978835,-0.0027522561687083336,0.9714285714285714
modernbert_hybrid_router,mathbench,29,0.9655172413793104,0.9655172413793104,1.0,1.0,0.0,0.0853334514834167,1.0,0.0,1.0,1.0,1.0,1.0588605363984671,1.0548605363984673,-0.0037919704662159326,1.0
modernbert_hybrid_router,mbpp,201,0.6567164179104478,0.5572139303482587,1.1785714285714286,1.076557871056845,0.07462686567164178,0.11108427604657242,0.8986486486486487,0.736318407960199,1.1785714285714286,1.1785714285714286,1.0,0.9452176229961304,0.9951307241569927,0.050157331041251085,0.263681592039801
modernbert_hybrid_router,medqa,266,0.8007518796992481,0.8007518796992481,1.0,1.0,0.0,0.01006880401243979,1.0,0.007518796992481203,1.0,1.0,1.0,1.5143608939014201,1.5109434001670843,-0.00226182776532724,0.9924812030075187
modernbert_hybrid_router,meld,242,0.5330578512396694,0.5413223140495868,0.984732824427481,0.9670126473064881,0.008264462809917356,0.024663824859221545,0.8181818181818182,0.045454545454545456,0.984732824427481,0.984732824427481,1.0,1.4112300918273646,1.4118651056014688,0.0004497694373101213,0.9545454545454546
modernbert_hybrid_router,mmlupro,188,0.675531914893617,0.675531914893617,1.0,0.9740276257120412,0.010638297872340425,0.031635050309193204,0.9473684210526315,0.20212765957446807,1.0,1.0,1.0,1.436912671394799,1.4535339479905434,0.011435079737024734,0.7978723404255319
modernbert_hybrid_router,winogrande,239,0.8535564853556485,0.8619246861924686,0.9902912621359223,0.9707190652163692,0.016736401673640166,0.03675632630529867,0.8620689655172413,0.12133891213389121,0.9902912621359223,0.9902912621359223,1.0,0.9357022687122267,0.9395147373314736,0.004057912524156437,0.8786610878661087
