threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,mean_resource,fallback_resource,resource_savings,fallback_usage
0.915,0.7079172610556348,0.7047075606276747,1.0045546558704455,0.9990970009544072,0.006062767475035664,0.008995630988007857,0.9314516129032258,0.0884450784593438,1.0079706233617496,0.9891049189756108,18.0,1.9401395450943095,1.9527850990648277,0.006475650585706538,0.9115549215406562
0.92,0.7082738944365192,0.7047075606276747,1.0050607287449393,1.000353659140005,0.0039229671897289585,0.006400016038679072,0.9430051813471503,0.068830242510699,1.007265457620352,0.9928079977222932,18.0,1.9442666135679187,1.9527850990648277,0.004362223729066916,0.931169757489301
0.925,0.7075606276747504,0.7047075606276747,1.0040485829959516,0.9998051853001274,0.003209700427960057,0.0055088631047166305,0.9395973154362416,0.053138373751783166,1.0057994082376358,0.9944076138282822,18.0,1.9473366420985891,1.9527850990648277,0.0027900955250261816,0.9468616262482168
0.93,0.7047075606276747,0.7047075606276747,1.0,0.9971159127452149,0.0021398002853067048,0.004132521763779282,0.9428571428571428,0.037446504992867335,1.0008611366326976,0.997290028422364,18.0,1.95022133063877,1.9527850990648277,0.0013128779133380064,0.9625534950071327
0.935,0.7043509272467903,0.7047075606276747,0.9994939271255061,0.9976323232022694,0.0010699001426533524,0.0026740322740759362,0.9577464788732394,0.025320970042796005,1.0003287707997854,0.997740444667399,18.0,1.9535030187034397,1.9527850990648277,-0.00036763883489054905,0.974679029957204
0.94,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9990641149631313,0.0003566333808844508,0.0015969700485162692,0.98,0.01783166904422254,1.0009326355340848,0.9988139167554774,18.0,1.9548009763829448,1.9527850990648277,-0.001032308838838647,0.9821683309557775
0.945,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.011412268188302425,1.0006172839506173,0.9996019422055855,18.0,1.955213658265969,1.9527850990648277,-0.001243638740537456,0.9885877318116976
0.95,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.0046362339514978606,1.0006172839506173,0.9996019422055855,18.0,1.9561274599778091,1.9527850990648277,-0.0017115866536374647,0.9953637660485022
0.975,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,0.0,1.0,1.0,18.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,1.0
0.99,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,0.0,1.0,1.0,18.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,1.0
