threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible
0.875,0.42136498516320475,0.42433234421364985,0.993006993006993,0.9756357449388059,0.018397626112759646,0.024605347890544176,0.9243902439024391,0.9000226367726761,0.24755062050947094,0.2433234421364985,0.9951127283105023,0.9900120857013928,6.0,0.984375,0.8492562279665448,6.0,1.5824452890867127,2.33217971407847,0.3214736928144515,0.3146131580523084,0.7566765578635015,False,True,True,True,True,True,False,5,False,0,False,False
0.88,0.42195845697329376,0.42433234421364985,0.9944055944055944,0.9774969489970151,0.017210682492581602,0.023249086455052102,0.926208651399491,0.9014818718887019,0.23775310254735468,0.23323442136498515,0.9958737633181126,0.9913652763678145,6.0,0.984375,0.8492562279665448,6.0,1.595460185229146,2.33217971407847,0.31589312110127377,0.30903258633913067,0.7667655786350148,False,True,True,True,True,True,False,5,False,0,False,False
0.885,0.42136498516320475,0.42433234421364985,0.993006993006993,0.9772334049762875,0.01543026706231454,0.021202859067839218,0.9326424870466321,0.908504754550041,0.23514043109079033,0.229080118694362,0.9934895833333334,0.9827809008662014,6.0,0.9609375,0.8325959547221239,6.0,1.6181409739531816,2.33217971407847,0.3061679748841446,0.2993074401220016,0.7709198813056379,False,True,True,True,True,True,False,5,False,0,False,False
0.89,0.42373887240356084,0.42433234421364985,0.9986013986013986,0.9838667796493041,0.012462908011869436,0.01775457423384119,0.9454545454545454,0.9231226374360131,0.23775310254735468,0.228486646884273,0.9986979166666666,0.9965561801732402,6.0,0.9921875,0.8721956953928708,6.0,1.6604113686119353,2.33217971407847,0.28804313038627694,0.28118259562413395,0.771513353115727,False,True,True,True,True,True,False,5,False,0,False,False
0.895,0.42195845697329376,0.42433234421364985,0.9944055944055944,0.9806003502787518,0.011869436201780416,0.01705811439791913,0.948051948051948,0.9261248681293599,0.23840627041149576,0.228486646884273,0.9947916666666666,0.9862247206929611,6.0,0.96875,0.8564070794367774,6.0,1.691647972304649,2.33217971407847,0.27464939254345533,0.26778885778131245,0.771513353115727,False,True,True,True,True,True,False,5,False,0,False,False
0.9,0.42255192878338277,0.42433234421364985,0.9958041958041958,0.9825860071935854,0.010682492581602374,0.015657064160292215,0.9532467532467532,0.9321670712440359,0.23971260613977793,0.228486646884273,0.99609375,0.9896685405197209,6.0,0.9765625,0.8689653432120064,6.0,1.7109979719749422,2.33217971407847,0.26635243345686144,0.25949189869471845,0.771513353115727,False,True,True,True,True,True,False,5,False,0,False,False
0.905,0.42136498516320475,0.42433234421364985,0.993006993006993,0.980197645200493,0.010682492581602374,0.015657064160292215,0.953125,0.9319927625867479,0.23905943827563683,0.22789317507418397,0.9934895833333334,0.9827809008662014,6.0,0.9609375,0.856763321972101,6.0,1.7217854925816025,2.33217971407847,0.2617269234494035,0.25486638868726064,0.7721068249258161,False,True,True,True,True,True,False,5,False,0,False,False
0.91,0.42195845697329376,0.42433234421364985,0.9944055944055944,0.982230972385406,0.009495548961424332,0.014243686505566639,0.9581151832460733,0.937787569741136,0.23905943827563683,0.22670623145400592,0.9947916666666666,0.9862247206929611,6.0,0.96875,0.8696980673464056,6.0,1.7273317519947247,2.33217971407847,0.2593487793554293,0.25248824459328634,0.7732937685459941,False,True,True,True,True,True,False,5,False,0,False,False
0.915,0.42255192878338277,0.42433234421364985,0.9958041958041958,0.9838481094003919,0.008902077151335312,0.013531692803125762,0.9597855227882037,0.9394771217037622,0.23383409536250815,0.22136498516320474,0.99609375,0.9896685405197209,6.0,0.9765625,0.8792490203573354,6.0,1.7403744482030992,2.33217971407847,0.2537562874348279,0.24689575267268493,0.7786350148367952,False,True,True,True,True,True,False,5,False,0,False,False
0.92,0.42136498516320475,0.42433234421364985,0.993006993006993,0.9824653986710397,0.00771513353115727,0.012095331149373563,0.9598765432098766,0.937807676324456,0.20313520574787722,0.19228486646884274,0.9934895833333334,0.9827809008662014,6.0,0.9609375,0.8752625251242497,6.0,1.8190188119353776,2.33217971407847,0.22003488798283333,0.21317435322069045,0.8077151335311573,False,True,True,True,True,True,False,5,False,0,False,False
