threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.925,0.7039942938659058,0.7047075606276747,0.9989878542510122,0.9961039384282868,0.0024964336661911554,0.0045978677577939555,0.9530201342281879,0.9155511090479813,0.06682352941176471,0.053138373751783166,1.0000851838714158,0.9964763882124839,18.0,0.986013986013986,0.9599755328270678,12.0,1.9431766991599297,1.9527850990648277,0.004920357037494494,-0.0032730688585054235,0.9468616262482168,True,True,False,True,True,True,True,6,False,0,False,False,hybrid_r4
0.93,0.7039942938659058,0.7047075606276747,0.9989878542510122,0.9963552426344426,0.0021398002853067048,0.004132521763779282,0.9487179487179487,0.9038994475640484,0.05223529411764706,0.04172610556348074,0.9997698322879484,0.9971669760582305,18.0,0.986013986013986,0.9599755328270678,12.0,1.946017374385798,1.9527850990648277,0.003465678165134878,-0.0047277477308647065,0.9582738944365192,True,True,False,True,True,True,True,6,False,0,False,False,hybrid_r4
0.935,0.7043509272467903,0.7047075606276747,0.9994939271255061,0.9976323232022694,0.0010699001426533524,0.0026740322740759362,0.963855421686747,0.9129608269721811,0.03764705882352941,0.029600570613409417,1.0001539848534384,0.9976328761543062,18.0,0.986013986013986,0.9599755328270678,12.0,1.9495492621651604,1.9527850990648277,0.0016570368655602907,-0.0065363890304392935,0.9703994293865906,True,True,False,True,True,True,True,6,False,0,False,False,hybrid_r4
0.94,0.7047075606276747,0.7047075606276747,1.0,0.9988225763086854,0.0003566333808844508,0.0015969700485162692,0.9814814814814815,0.9211601663963909,0.024941176470588234,0.01925820256776034,1.000228783562117,0.9989976838975416,18.0,0.993006993006993,0.9745576414442184,12.0,1.953621784751941,1.9527850990648277,-0.0004284576359754322,-0.008621883531975127,0.9807417974322397,True,False,False,True,True,True,True,5,False,0,False,False,hybrid_r4
0.945,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.9282454725154864,0.01647058823529412,0.012482168330955777,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.954777740529402,1.9527850990648277,-0.0010204100110804415,-0.009213835907080137,0.9875178316690443,True,False,False,True,True,True,True,5,False,0,False,False,hybrid_r4
0.95,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.8808421626390356,0.009411764705882352,0.007132667617689016,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.955850225075289,1.9527850990648277,-0.0015696176767885373,-0.009763043572788233,0.992867332382311,True,False,False,True,True,False,True,4,False,0,False,False,hybrid_r4
0.975,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0,True,False,False,True,True,True,True,5,False,0,False,False,hybrid_r4
0.99,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0,True,False,False,True,True,True,True,5,False,0,False,False,hybrid_r4
0.5,0.6087731811697575,0.7047075606276747,0.8638663967611337,0.8435546666356245,0.1587018544935806,0.1703803671999655,0.8176229508196722,0.8044148516630736,0.9388235294117647,0.8701854493580599,0.8649890704189619,0.7914805993087128,18.0,0.6805555555555556,0.548782720051503,12.0,1.7705152448882546,1.9527850990648277,0.09333840895440082,0.08514498305840112,0.12981455064194009,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.6,0.6319543509272468,0.7047075606276747,0.896761133603239,0.8775731306374097,0.13373751783166904,0.14466416886252081,0.8367435785807575,0.8236640452090694,0.9044705882352941,0.8191868758915835,0.9098873596048258,0.8507375144515762,18.0,0.75,0.6184661494978688,12.0,1.7835648050404185,1.9527850990648277,0.08665587119926677,0.0784624453032674,0.18081312410841655,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.7,0.6522824536376605,0.7047075606276747,0.9256072874493928,0.9077644907848054,0.10948644793152638,0.11956477823258535,0.851976856316297,0.8386921511631266,0.8315294117647059,0.739657631954351,0.9490024154737099,0.8999897960488346,18.0,0.8085106382978724,0.6184661494978688,12.0,1.8029442875257566,1.9527850990648277,0.07673184909636421,0.0685384232003644,0.2603423680456491,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.75,0.6622681883024251,0.7047075606276747,0.9397773279352227,0.9227973083169508,0.09629101283880172,0.10584718081062032,0.857293868921776,0.8435565334898076,0.7632941176470588,0.6747503566333809,0.9681207636142263,0.9248263348726081,18.0,0.8263888888888888,0.6184661494978688,12.0,1.817541520050721,1.9527850990648277,0.06925676516011603,0.06106333926411622,0.3252496433666191,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.8,0.6776034236804565,0.7047075606276747,0.9615384615384616,0.9457869244140944,0.07774607703281027,0.08647675028688237,0.8661755678330264,0.8516914881056384,0.664,0.5809557774607703,0.9874413063664229,0.9486569683711009,18.0,0.8611111111111112,0.5998155916137624,12.0,1.835023291329846,1.9527850990648277,0.060304540315970656,0.05211111441997096,0.4190442225392297,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.85,0.6904422253922967,0.7047075606276747,0.979757085020243,0.9662441439565294,0.05420827389443652,0.06168118505043456,0.8760195758564437,0.8597049187697764,0.5054117647058823,0.4372325249643367,0.9998171369465157,0.9665934730694609,18.0,0.8838709677419355,0.7324678203264325,12.0,1.863049312093834,1.9527850990648277,0.04595272004787798,0.037759294151878287,0.5627674750356634,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
