strategy,dataset,prompts,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage
cheapest_single,mathbench,31,0.7741935483870968,0.967741935483871,0.7999999999999999,0.654248408652582,0.22580645161290322,0.36830267895809843,0.7741935483870968,0.6316973210419016,1.0,1.0,0.7999999999999999,0.7999999999999999,1.0,1.0,1.0,0.0,0.9786817204301075,1.0616109677419354,0.07811641913253764,0.07811641913253764,0.0
cheapest_single,mbpp,207,0.714975845410628,0.5507246376811594,1.2982456140350875,1.1786125873820126,0.0966183574879227,0.13578115421260215,0.9033816425120773,0.8642188457873978,1.0,1.0,1.2982456140350875,1.2982456140350875,1.0,1.2982456140350875,1.1786125873820126,1.0,0.8950893719806764,0.9636885024154588,0.0711839253688723,0.0711839253688723,0.0
cheapest_single,medqa,247,0.611336032388664,0.8137651821862348,0.7512437810945274,0.691054377234516,0.23076923076923078,0.2776393808963466,0.7692307692307693,0.7223606191036535,1.0,1.0,0.7512437810945274,0.7512437810945274,1.0,0.7512437810945274,0.691054377234516,1.0,1.3756349977507873,1.5266133783175886,0.0988975877659265,0.0988975877659265,0.0
cheapest_single,meld,242,0.4834710743801653,0.5495867768595041,0.8796992481203009,0.7929998078085221,0.13636363636363635,0.176691855605219,0.8636363636363636,0.823308144394781,1.0,1.0,0.8796992481203009,0.8796992481203009,1.0,0.8796992481203009,0.7929998078085221,1.0,1.2730770890725434,1.406474113865932,0.09484499108677114,0.09484499108677114,0.0
cheapest_single,mmlupro,233,0.43776824034334766,0.630901287553648,0.6938775510204083,0.6039526824428008,0.2532188841201717,0.30272698809089954,0.7467811158798283,0.6972730119091005,1.0,1.0,0.6938775510204083,0.6938775510204083,1.0,0.6938775510204083,0.6039526824428008,1.0,1.3069903671912255,1.4465295660467332,0.09646480938295565,0.09646480938295565,0.0
cheapest_single,winogrande,243,0.7530864197530864,0.8271604938271605,0.9104477611940298,0.8532416463398678,0.13991769547325103,0.18050005086388438,0.8600823045267489,0.8194999491361156,1.0,1.0,0.9104477611940298,0.9104477611940298,1.0,0.9104477611940298,0.8532416463398678,1.0,0.8727134887974395,0.937476753543667,0.06908252871489562,0.06908252871489562,0.0
dataset_lookup,aime,10,0.9,0.9,1.0,1.0,0.0,0.21294197008340685,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1587086666666664,1.1587086666666664,0.0,0.0,1.0
dataset_lookup,arcc,240,0.9208333333333333,0.9208333333333333,1.0,1.0,0.0,0.011147431639142304,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8937689444444443,0.8937689444444443,0.0,0.0,1.0
dataset_lookup,bbh,220,0.8318181818181818,0.8318181818181818,1.0,1.0,0.0,0.012148523167107798,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.234013181818181,2.234013181818181,0.0,0.0,1.0
dataset_lookup,emorynlp,135,0.3925925925925926,0.3925925925925926,1.0,1.0,0.0,0.019647309659667492,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8312460082304525,1.8312460082304525,0.0,0.0,1.0
