threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage
0.875,0.7000713266761769,0.7047075606276747,0.993421052631579,0.9831248298622286,0.029600570613409417,0.03533555652832205,0.8955974842767296,0.8763971678444933,0.33505882352941174,0.2835235378031384,1.0005701872010557,0.9718224954101734,18.0,0.9444444444444445,0.8699210269266554,12.0,1.8911183269931842,1.9527850990648277,0.03157888295090694,0.023385457054907466,0.7164764621968617
0.88,0.7011412268188303,0.7047075606276747,0.9949392712550609,0.9853751282349493,0.025320970042796005,0.0306774844158334,0.8975468975468975,0.8770271620000584,0.29270588235294115,0.2471469329529244,1.0013791934606102,0.9770483250345454,18.0,0.9612903225806452,0.8779797417000137,12.0,1.898183318275479,1.9527850990648277,0.027960977792946595,0.019767551896946678,0.7528530670470756
0.885,0.7022111269614836,0.7047075606276747,0.9964574898785425,0.9876865714312368,0.021041369472182596,0.025982948539626426,0.9028006589785832,0.8811993859129513,0.25788235294117645,0.21647646219686162,1.0021267757112096,0.9790333847746867,18.0,0.9652777777777778,0.9061741930150594,12.0,1.9046266135679186,1.9527850990648277,0.024661436386406166,0.01646801049040647,0.7835235378031383
0.89,0.7043509272467903,0.7047075606276747,0.9994939271255061,0.9916395471869299,0.016048502139800285,0.020444313908875484,0.9131274131274131,0.8905656989510033,0.22258823529411764,0.1847360912981455,1.0049385015127437,0.9843913349864517,18.0,0.9652777777777778,0.9105589129386739,12.0,1.912560459660802,1.9527850990648277,0.02059860013438708,0.012405174238387384,0.8152639087018545
0.895,0.7068473609129815,0.7047075606276747,1.0030364372469638,0.9957789232462064,0.012482168330955777,0.016431041708347503,0.9213483146067416,0.8977211929674813,0.19294117647058823,0.1587018544935806,1.0071587980948784,0.9869172659030161,18.0,0.9673913043478262,0.9179758522057708,12.0,1.9181024084640987,1.9527850990648277,0.017760628456934713,0.00956720256093524,0.8412981455064193
0.9,0.706490727532097,0.7047075606276747,1.0025303643724697,0.9959225579164419,0.010342368045649072,0.013990739838990733,0.9246753246753247,0.8994670100121602,0.16752941176470587,0.13730385164051356,1.0064528904197785,0.9870946483182054,18.0,0.9652777777777778,0.9247220039834403,12.0,1.92376341020764,1.9527850990648277,0.014861691064257831,0.006668265168258358,0.8626961483594865
0.905,0.706490727532097,0.7047075606276747,1.0025303643724697,0.9962451335482505,0.009272467902995721,0.012758670546512427,0.9216867469879518,0.8938838896436153,0.144,0.11840228245363767,1.0058135462320552,0.9885814263808561,18.0,0.9652777777777778,0.9247220039834403,12.0,1.9301664114756691,1.9527850990648277,0.011582783789158557,0.003389357893158862,0.8815977175463623
0.91,0.7047075606276747,0.7047075606276747,1.0,0.9948677291158289,0.006776034236804565,0.009842541611725153,0.9309090909090909,0.9013291695759351,0.12047058823529412,0.09807417974322397,1.0022446296828573,0.9921976081395019,18.0,0.9722222222222223,0.9358556169283361,12.0,1.9351380163258836,1.9527850990648277,0.009036879043882062,0.000843453147882478,0.901925820256776
0.915,0.706490727532097,0.7047075606276747,1.0025303643724697,0.9980475577929317,0.0042796005706134095,0.0068397696663225205,0.9466666666666667,0.9162982880217807,0.10023529411764706,0.08024251069900143,1.0044078214293826,0.9938800337461599,18.0,0.983695652173913,0.9457875913293015,12.0,1.938407336344904,1.9527850990648277,0.007362695837247579,-0.000830730058752005,0.9197574893009985
0.92,0.7043509272467903,0.7047075606276747,0.9994939271255061,0.9956786707045087,0.0039229671897289585,0.006400016038679072,0.9375,0.9003647171858316,0.07764705882352942,0.06276747503566334,1.0010194693091465,0.9952124044623111,18.0,0.9782608695652173,0.9432888622423571,12.0,1.9419150324932635,1.9527850990648277,0.005566442808668359,-0.002626983087331336,0.9372325249643366
0.925,0.703281027104137,0.7047075606276747,0.9979757085020244,0.995092307036633,0.0028530670470756064,0.005056257922349371,0.9402985074626866,0.8971324555995976,0.059294117647058824,0.04778887303851641,0.9992498376556347,0.9960584966828188,18.0,0.9782608695652173,0.9498044709615416,12.0,1.9457106482802344,1.9527850990648277,0.003622749266153802,-0.004570676629845893,0.9522111269614836
0.93,0.7047075606276747,0.7047075606276747,1.0,0.9976451526173707,0.0014265335235378032,0.0031736813927195273,0.9591836734693877,0.9121486666365172,0.04423529411764706,0.03495007132667618,1.0004575671242337,0.9979953677950828,18.0,0.986013986013986,0.9599755328270678,12.0,1.948916587414804,1.9527850990648277,0.0019810227207675,-0.006212403175232195,0.9650499286733238
0.935,0.7047075606276747,0.7047075606276747,1.0,0.9983348714470834,0.0007132667617689016,0.0021530508146409173,0.9726027397260274,0.9205341105398056,0.033411764705882356,0.026034236804564907,1.000542485241939,0.998302887010333,18.0,0.993006993006993,0.9745576414442184,12.0,1.9521132326834674,1.9527850990648277,0.00034405546298055256,-0.007849370433019365,0.973965763195435
0.94,0.7047075606276747,0.7047075606276747,1.0,0.9988225763086854,0.0003566333808844508,0.0015969700485162692,0.9791666666666666,0.9118601985005982,0.02211764705882353,0.017118402282453638,1.000228783562117,0.9989976838975416,18.0,0.993006993006993,0.9745576414442184,12.0,1.9541906863211282,1.9527850990648277,-0.000719785939053752,-0.008913211835053447,0.9828815977175464
0.945,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.9197300153970172,0.014588235294117647,0.011055634807417974,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.9549562569345378,1.9527850990648277,-0.001111826319624143,-0.009305252215623838,0.988944365192582
0.95,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.84719229538986,0.007058823529411765,0.005349500713266762,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.9559325527024884,1.9527850990648277,-0.0016117767588292864,-0.009805202654828982,0.9946504992867332
0.975,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0
0.99,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0
